"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"A01" "A01 Major excision of tissue of brain" "A01" "A01 Major excision of tissue of brain"
"A011" "A01.1 Hemispherectomy" "A011" "A01.1 Hemispherectomy"
"A012" "A01.2 Total lobectomy of brain" "A012" "A01.2 Total lobectomy of brain"
"A013" "A01.3 Partial lobectomy of brain" "A013" "A01.3 Partial lobectomy of brain"
"A018" "A01.8 Other specified major excision of tissue of brain" "A018" "A01.8 Other specified major excision of tissue of brain"
"A019" "A01.9 Unspecified major excision of tissue of brain" "A019" "A01.9 Unspecified major excision of tissue of brain"
"A02" "A02 Excision of lesion of tissue of brain" "A02" "A02 Excision of lesion of tissue of brain"
"A021" "A02.1 Excision of lesion of tissue of frontal lobe of brain" "A021" "A02.1 Excision of lesion of tissue of frontal lobe of brain"
"A022" "A02.2 Excision of lesion of tissue of temporal lobe of brain" "A022" "A02.2 Excision of lesion of tissue of temporal lobe of brain"
"A023" "A02.3 Excision of lesion of tissue of parietal lobe of brain" "A023" "A02.3 Excision of lesion of tissue of parietal lobe of brain"
"A024" "A02.4 Excision of lesion of tissue of occipital lobe of brain" "A024" "A02.4 Excision of lesion of tissue of occipital lobe of brain"
"A025" "A02.5 Excision of lesion of tissue of cerebellum" "A025" "A02.5 Excision of lesion of tissue of cerebellum"
"A026" "A02.6 Excision of lesion of tissue of brain stem" "A026" "A02.6 Excision of lesion of tissue of brain stem"
"A027" "A02.7 Excision of transcranial dermoid cyst" "A027" "A02.7 Excision of transcranial dermoid cyst"
"A028" "A02.8 Other specified excision of lesion of tissue of brain" "A028" "A02.8 Other specified excision of lesion of tissue of brain"
"A029" "A02.9 Unspecified excision of lesion of tissue of brain" "A029" "A02.9 Unspecified excision of lesion of tissue of brain"
"A03" "A03 Stereotactic ablation of tissue of brain" "A03" "A03 Stereotactic ablation of tissue of brain"
"A031" "A03.1 Stereotactic leucotomy" "A031" "A03.1 Stereotactic leucotomy"
"A032" "A03.2 Stereotactic ablation of tissue of thalamus" "A032" "A03.2 Stereotactic ablation of tissue of thalamus"
"A033" "A03.3 Stereotactic ablation of tissue of globus pallidus" "A033" "A03.3 Stereotactic ablation of tissue of globus pallidus"
"A034" "A03.4 Stereotactic ablation of tissue of brain stem" "A034" "A03.4 Stereotactic ablation of tissue of brain stem"
"A038" "A03.8 Other specified stereotactic ablation of tissue of brain" "A038" "A03.8 Other specified stereotactic ablation of tissue of brain"
"A039" "A03.9 Unspecified stereotactic ablation of tissue of brain" "A039" "A03.9 Unspecified stereotactic ablation of tissue of brain"
"A04" "A04 Open biopsy of lesion of tissue of brain" "A04" "A04 Open biopsy of lesion of tissue of brain"
"A041" "A04.1 Open biopsy of lesion of tissue of frontal lobe of brain" "A041" "A04.1 Open biopsy of lesion of tissue of frontal lobe of brain"
"A042" "A04.2 Open biopsy of lesion of tissue of temporal lobe of brain" "A042" "A04.2 Open biopsy of lesion of tissue of temporal lobe of brain"
"A043" "A04.3 Open biopsy of lesion of tissue of parietal lobe of brain" "A043" "A04.3 Open biopsy of lesion of tissue of parietal lobe of brain"
"A044" "A04.4 Open biopsy of lesion of tissue of occipital lobe of brain" "A044" "A04.4 Open biopsy of lesion of tissue of occipital lobe of brain"
"A045" "A04.5 Open biopsy of lesion of tissue of cerebellum" "A045" "A04.5 Open biopsy of lesion of tissue of cerebellum"
"A046" "A04.6 Open biopsy of lesion of tissue of brain stem" "A046" "A04.6 Open biopsy of lesion of tissue of brain stem"
"A048" "A04.8 Other specified open biopsy of lesion of tissue of brain" "A048" "A04.8 Other specified open biopsy of lesion of tissue of brain"
"A049" "A04.9 Unspecified open biopsy of lesion of tissue of brain" "A049" "A04.9 Unspecified open biopsy of lesion of tissue of brain"
"A05" "A05 Drainage of lesion of tissue of brain" "A05" "A05 Drainage of lesion of tissue of brain"
"A051" "A05.1 Drainage of abscess of tissue of brain" "A051" "A05.1 Drainage of abscess of tissue of brain"
"A052" "A05.2 Evacuation of haematoma from temporal lobe of brain" "A052" "A05.2 Evacuation of haematoma from temporal lobe of brain"
"A053" "A05.3 Evacuation of haematoma from cerebellum" "A053" "A05.3 Evacuation of haematoma from cerebellum"
"A054" "A05.4 Evacuation of intracerebral haematoma NEC" "A054" "A05.4 Evacuation of intracerebral haematoma NEC"
"A058" "A05.8 Other specified drainage of lesion of tissue of brain" "A058" "A05.8 Other specified drainage of lesion of tissue of brain"
"A059" "A05.9 Unspecified drainage of lesion of tissue of brain" "A059" "A05.9 Unspecified drainage of lesion of tissue of brain"
"A06" "A06 Other excision of lesion of tissue of brain" "A06" "A06 Other excision of lesion of tissue of brain"
"A061" "A06.1 Excision of basal encephalocele" "A061" "A06.1 Excision of basal encephalocele"
"A062" "A06.2 Excision of occipital encephalocele" "A062" "A06.2 Excision of occipital encephalocele"
"A063" "A06.3 Excision of syncipital encephalocele" "A063" "A06.3 Excision of syncipital encephalocele"
"A064" "A06.4 Repair of post-traumatic meningoencephalocele" "A064" "A06.4 Repair of post-traumatic meningoencephalocele"
"A068" "A06.8 Other specified" "A068" "A06.8 Other specified"
"A069" "A06.9 Unspecified" "A069" "A06.9 Unspecified"
